Date        West     East     DMI(=West-East)
1870:1:16:0 -0.307584 -0.0461699 -0.261414
1870:2:16:0 -0.433339 -0.274598 -0.158742
1870:3:16:0 0.00179841 -0.334084 0.335882
1870:4:16:0 0.106323 -0.0424931 0.148816
1870:5:16:0 -0.31396 -0.0499203 -0.26404
1870:6:16:0 -0.384032 -0.0570712 -0.326961
1870:7:16:0 -0.303814 0.024589 -0.328403
1870:8:16:0 -0.0821515 0.126762 -0.208914
1870:9:16:0 -0.250593 0.0802153 -0.330808
1870:10:16:0 -0.21817 0.0274194 -0.24559
1870:11:16:0 -0.147065 -0.0139007 -0.133164
1870:12:16:0 -0.200841 -0.057118 -0.143723
1871:1:16:0 -0.101202 -0.00766932 -0.0935326
1871:2:16:0 -0.129728 -0.142333 0.0126046
1871:3:16:0 -0.190043 -0.14796 -0.0420826
1871:4:16:0 -0.193147 -0.245951 0.0528044
1871:5:16:0 -0.278334 -0.377973 0.0996385
1871:6:16:0 -0.365146 -0.413065 0.0479184
1871:7:16:0 -0.235372 -0.114146 -0.121226
1871:8:16:0 -0.221378 -0.153743 -0.0676348
1871:9:16:0 -0.368977 -0.434501 0.0655243
1871:10:16:0 -0.464713 -0.325182 -0.139531
1871:11:16:0 -0.160776 -0.219121 0.0583456
1871:12:16:0 -0.242046 -0.242298 0.000252247
1872:1:16:0 -0.193377 -0.339837 0.14646
1872:2:16:0 -0.0830384 -0.297474 0.214436
1872:3:16:0 -0.132618 -0.224087 0.0914689
1872:4:16:0 -0.204011 -0.318697 0.114687
1872:5:16:0 -0.0292583 -0.0990012 0.0697429
1872:6:16:0 0.0219607 -0.0995403 0.121501
1872:7:16:0 -0.0884267 -0.114502 0.0260751
1872:8:16:0 -0.173128 -0.155392 -0.0177355
1872:9:16:0 -0.12769 -0.185649 0.0579594
1872:10:16:0 -0.0918251 -0.205259 0.113434
1872:11:16:0 0.100638 -0.0598077 0.160446
1872:12:16:0 -0.16938 -0.276704 0.107325
1873:1:16:0 -0.109998 -0.348318 0.238321
1873:2:16:0 -0.486219 -0.350062 -0.136157
1873:3:16:0 -0.605442 -0.378781 -0.226661
1873:4:16:0 -0.322828 -0.251001 -0.0718267
1873:5:16:0 -0.515917 -0.319262 -0.196655
1873:6:16:0 -0.570665 -0.202642 -0.368024
1873:7:16:0 -0.540078 -0.168471 -0.371607
1873:8:16:0 -0.541826 -0.0457186 -0.496108
1873:9:16:0 -0.225742 0.0691005 -0.294842
1873:10:16:0 -0.368301 -0.264226 -0.104075
1873:11:16:0 -0.290786 -0.20454 -0.0862451
1873:12:16:0 -0.385117 -0.307536 -0.0775813
1874:1:16:0 -0.155315 0.0430728 -0.198388
1874:2:16:0 -0.298915 -0.103337 -0.195578
1874:3:16:0 -0.209429 0.203175 -0.412604
1874:4:16:0 -0.421946 0.131578 -0.553524
1874:5:16:0 -0.385999 -0.169401 -0.216598
1874:6:16:0 -0.32346 -0.0744876 -0.248972
1874:7:16:0 -0.0504183 -0.0251689 -0.0252494
1874:8:16:0 -0.431659 -0.387226 -0.0444323
1874:9:16:0 -0.44078 -0.030218 -0.410562
1874:10:16:0 -0.765954 -0.0101174 -0.755837
1874:11:16:0 -0.701906 -0.369287 -0.332619
1874:12:16:0 -0.619956 -0.0645598 -0.555397
1875:1:16:0 -0.333864 -0.0782066 -0.255658
1875:2:16:0 -0.292491 -0.292114 -0.000376344
1875:3:16:0 -0.27884 -0.356434 0.0775942
1875:4:16:0 -0.287464 -0.524794 0.237329
1875:5:16:0 -0.0849672 -0.169599 0.0846316
1875:6:16:0 -0.29432 -0.410996 0.116676
1875:7:16:0 -0.565709 -0.371942 -0.193767
1875:8:16:0 -0.364118 -0.421457 0.0573391
1875:9:16:0 -0.347915 -0.35327 0.00535485
1875:10:16:0 -0.289771 -0.0237666 -0.266004
1875:11:16:0 -0.297315 0.323172 -0.620487
1875:12:16:0 -0.51542 -0.28618 -0.22924
1876:1:16:0 -0.541101 -0.361621 -0.17948
1876:2:16:0 -0.537254 -0.212908 -0.324346
1876:3:16:0 -0.303427 -0.0624594 -0.240968
1876:4:16:0 -0.34757 -0.0719235 -0.275646
1876:5:16:0 -0.367661 -0.120738 -0.246923
1876:6:16:0 -0.633515 -0.419472 -0.214043
1876:7:16:0 -0.485239 -0.405708 -0.0795312
1876:8:16:0 -0.359432 -0.402646 0.0432144
1876:9:16:0 -0.371803 -0.667901 0.296098
1876:10:16:0 -0.422742 -0.587914 0.165172
1876:11:16:0 -0.558735 -0.473158 -0.0855771
1876:12:16:0 -0.489275 -0.422277 -0.0669981
1877:1:16:0 -0.413768 -0.28332 -0.130448
1877:2:16:0 0.055183 -0.482591 0.537774
1877:3:16:0 0.0182026 -0.274053 0.292255
1877:4:16:0 -0.290852 -0.195783 -0.0950687
1877:5:16:0 -0.453491 0.0126933 -0.466184
1877:6:16:0 -0.133338 0.151713 -0.285051
1877:7:16:0 0.0163733 0.288874 -0.272501
1877:8:16:0 0.160774 -0.354299 0.515073
1877:9:16:0 0.478247 -0.418265 0.896512
1877:10:16:0 0.411057 -0.379266 0.790323
1877:11:16:0 0.3833 -0.430124 0.813424
1877:12:16:0 0.410127 0.0356413 0.374486
1878:1:16:0 0.450023 0.529294 -0.0792715
1878:2:16:0 0.622493 0.843175 -0.220682
1878:3:16:0 0.608383 0.465257 0.143126
1878:4:16:0 0.549855 0.439066 0.110788
1878:5:16:0 0.359979 0.50165 -0.141671
1878:6:16:0 0.363185 0.4633 -0.100115
1878:7:16:0 0.335529 0.398191 -0.0626612
1878:8:16:0 0.251372 0.225626 0.0257464
1878:9:16:0 0.0488476 -0.124146 0.172994
1878:10:16:0 0.00304598 0.292968 -0.289922
1878:11:16:0 -0.195528 -0.00892103 -0.186607
