Time,NINO4
Jan 1856,0.7226501
Feb 1856,0.6452
Mar 1856,0.57615
Apr 1856,0.47015
May 1856,0.36125
Jun 1856,0.2873
Jul 1856,0.29635
Aug 1856,0.2372
Sep 1856,0.0306
Oct 1856,-0.2172
Nov 1856,-0.56165
Dec 1856,-0.91355
Jan 1857,-0.8502001
Feb 1857,-0.8593
Mar 1857,-0.82015
Apr 1857,-0.59885
May 1857,-0.6231501
Jun 1857,-0.63325
Jul 1857,-0.5194
Aug 1857,-0.31235
Sep 1857,-0.3117
Oct 1857,-0.49385
Nov 1857,-0.37025
Dec 1857,-0.2808
Jan 1858,-0.105
Feb 1858,0.01135
Mar 1858,0.11605
Apr 1858,-0.07595
May 1858,-0.21445
Jun 1858,-0.1491
Jul 1858,-0.10785
Aug 1858,-0.004599999
Sep 1858,-0.06170001
Oct 1858,-0.26015
Nov 1858,-0.4569
Dec 1858,-0.5327
Jan 1859,-0.524
Feb 1859,-0.55215
Mar 1859,-0.5602
Apr 1859,-0.45945
May 1859,-0.4019
Jun 1859,-0.3155
Jul 1859,-0.0419
Aug 1859,0.25495
Sep 1859,0.29475
Oct 1859,0.36405
Nov 1859,0.20045
Dec 1859,0.2584
Jan 1860,0.09395
Feb 1860,0.0458
Mar 1860,0.0378
Apr 1860,-0.09045
May 1860,-0.13575
Jun 1860,-0.1292
Jul 1860,-0.2643
Aug 1860,-0.49215
Sep 1860,-0.31885
Oct 1860,-0.22325
Nov 1860,-0.2314
Dec 1860,-0.4284
Jan 1861,-0.38975
Feb 1861,-0.73945
Mar 1861,-0.73675
Apr 1861,-0.75655
May 1861,-0.8003501
Jun 1861,-0.65905
Jul 1861,-0.48955
Aug 1861,-0.26855
Sep 1861,-0.4587
Oct 1861,-0.45925
Nov 1861,-0.39975
Dec 1861,-0.5712
Jan 1862,-0.7057
Feb 1862,-0.6867501
Mar 1862,-0.7602
Apr 1862,-0.59025
May 1862,-0.5019
Jun 1862,-0.47465
Jul 1862,-0.5432
Aug 1862,-0.26775
Sep 1862,-0.1713
Oct 1862,-0.4786
Nov 1862,-0.67805
Dec 1862,-0.82695
Jan 1863,-0.9795001
Feb 1863,-1.12495
Mar 1863,-1.13365
Apr 1863,-0.9757
May 1863,-0.9817001
Jun 1863,-1.07035
Jul 1863,-0.9535
Aug 1863,-0.6759
Sep 1863,-0.6719
Oct 1863,-0.5458
Nov 1863,-0.43095
Dec 1863,-0.3887
Jan 1864,-0.47355
Feb 1864,-0.42375
Mar 1864,-0.23965
Apr 1864,-0.1975
May 1864,-0.1969
Jun 1864,0.004750001
Jul 1864,0.11685
Aug 1864,0.38005
Sep 1864,0.4819
Oct 1864,0.5779001
Nov 1864,0.62085
Dec 1864,0.36865
Jan 1865,0.3409
Feb 1865,0.31485
Mar 1865,0.26245
Apr 1865,0.21555
May 1865,0.33795
Jun 1865,0.36495
Jul 1865,0.47985
Aug 1865,0.4859
Sep 1865,0.5238
Oct 1865,0.6431
Nov 1865,0.7939
Dec 1865,0.7934501
Jan 1866,0.8309
Feb 1866,0.8229501
Mar 1866,0.9066501
Apr 1866,0.9006
May 1866,0.7930501
Jun 1866,0.70735
Jul 1866,0.7201
Aug 1866,0.52175
Sep 1866,0.19985
Oct 1866,0.092
Nov 1866,0.06955
Dec 1866,-0.07675
Jan 1867,0.007300002
Feb 1867,0.007000001
Mar 1867,0.23805
Apr 1867,0.2934
May 1867,0.52555
Jun 1867,0.68655
Jul 1867,0.70285
Aug 1867,0.63595
Sep 1867,0.43595
Oct 1867,0.1127
Nov 1867,0.04165
Dec 1867,-0.002650002
Jan 1868,0.0689
Feb 1868,0.1226
Mar 1868,0.24635
Apr 1868,0.29755
May 1868,0.43345
Jun 1868,0.3591
Jul 1868,0.2697
Aug 1868,0.41445
Sep 1868,0.4686
Oct 1868,0.4029
Nov 1868,0.61885
Dec 1868,0.5685501
Jan 1869,0.40025
Feb 1869,0.2106
Mar 1869,0.06465
Apr 1869,-0.0441
May 1869,-0.07250001
Jun 1869,-0.24555
Jul 1869,-0.19185
Aug 1869,-0.271
Sep 1869,-0.4611
Oct 1869,-0.4225
Nov 1869,-0.4069
Dec 1869,-0.28875
Jan 1870,-0.3758
Feb 1870,-0.6063
Mar 1870,-0.75475
Apr 1870,-0.4974
May 1870,-0.5613
Jun 1870,-0.7949001
Jul 1870,-0.5719
Aug 1870,-0.288
Sep 1870,-0.3381
Oct 1870,-0.4032
Nov 1870,-0.55625
Dec 1870,-0.53835
Jan 1871,-0.5039001
Feb 1871,-0.6603
Mar 1871,-0.6458001
Apr 1871,-0.4908
May 1871,-0.32145
Jun 1871,-0.45985
Jul 1871,-0.2725
Aug 1871,-0.22445
Sep 1871,-0.2927
Oct 1871,-0.2877
Nov 1871,-0.372
Dec 1871,-0.50375
Jan 1872,-0.61665
Feb 1872,-0.6722
Mar 1872,-0.70555
Apr 1872,-0.5998001
May 1872,-0.6868
Jun 1872,-0.76915
Jul 1872,-1.0084
Aug 1872,-1.0658
Sep 1872,-1.27475
Oct 1872,-1.2418
Nov 1872,-1.0086
Dec 1872,-0.91075
Jan 1873,-0.8893501
Feb 1873,-0.9381
Mar 1873,-1.10375
Apr 1873,-0.92795
May 1873,-0.5199
