Bioregion,Clearing type,1988-1989,1989-1990,1990-1991,1991-1992,1992-1993,1993-1994,1994-1995,1995-1996,1996-1997,1997-1998,1998-1999,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015
Brigalow Belt,Pasture,397887,397887,397887,148738,148738,148738,148738,173404,173404,215173,215173,337903,197993,219599,157143,207196,135728,117044,89499,46150,39090,35455,37441,80224,130786,120182,120332
Brigalow Belt,Crop,49540,49540,49540,8714,8714,8714,8714,20259,20259,23029,23029,20848,6352,233,156,196,1355,290,16,41,46,82,297,270,1970,3352,3595
Brigalow Belt,Settlement,185,185,185,164,164,164,164,248,248,109,109,201,155,35,54,290,295,285,488,432,160,130,157,252,129,67,92
Brigalow Belt,Mining,1344,1344,1344,959,959,959,959,1475,1475,1430,1430,660,1470,1427,1231,2225,1676,2008,1836,1449,1162,2152,1996,3866,4046,2818,1875
Brigalow Belt,Infrastructure,4997,4997,4997,1529,1529,1529,1529,3493,3493,4382,4382,4466,4433,2514,1295,3604,1823,976,920,1025,1099,542,4292,2726,5510,2933,891
Brigalow Belt,Forestry,0,0,0,844,844,844,844,811,811,1368,1368,825,1015,239,16,69,2711,2215,720,2764,1502,710,1169,1629,1410,2232,2723
Brigalow Belt,Total clearing,453953,453953,453953,160948,160948,160948,160948,199690,199690,245491,245491,364903,211418,224047,159895,213580,143588,122818,93479,51861,43059,39071,45352,88967,143851,131584,129508
Cape York Peninsula,Pasture,1043,1043,1043,564,564,564,564,25,25,24,24,482,1506,467,698,534,489,793,2092,1059,853,418,464,391,357,455,2216
Cape York Peninsula,Crop,0,0,0,217,217,217,217,597,597,915,915,683,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Cape York Peninsula,Settlement,2,2,2,3,3,3,3,7,7,7,7,8,9,2,0,3,12,5,20,5,2,9,5,3,9,17,7
Cape York Peninsula,Mining,434,434,434,401,401,401,401,667,667,364,364,53,0,1,12,643,824,998,1891,2002,1072,675,331,1174,1450,1887,1035
Cape York Peninsula,Infrastructure,966,966,966,142,142,142,142,934,934,569,569,180,573,82,71,384,991,501,478,92,565,197,201,231,272,209,54
Cape York Peninsula,Forestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape York Peninsula,Total clearing,2445,2445,2445,1327,1327,1327,1327,2230,2230,1879,1879,1406,2088,552,781,1564,2316,2297,4481,3158,2492,1299,1001,1799,2089,2568,3314
Central Queensland Coast,Pasture,2533,2533,2533,992,992,992,992,1203,1203,276,276,2681,2082,998,1329,3084,1716,2349,1971,1954,705,291,266,896,1038,1559,1882
Central Queensland Coast,Crop,693,693,693,571,571,571,571,3381,3381,2101,2101,1898,1040,219,145,25,37,15,31,27,10,16,6,52,28,75,78
Central Queensland Coast,Settlement,32,32,32,4,4,4,4,1,1,0,0,16,2,8,7,37,27,12,48,93,43,8,23,15,12,20,22
Central Queensland Coast,Mining,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,3,0,0,4,3,0,1,10,13,3,17
Central Queensland Coast,Infrastructure,972,972,972,70,70,70,70,351,351,82,82,419,247,58,22,46,20,9,91,32,1,2,9,20,9,27,12
Central Queensland Coast,Forestry,144,144,144,129,129,129,129,118,118,214,214,694,149,287,242,23,276,212,21,401,278,339,449,310,108,136,1000
Central Queensland Coast,Total clearing,4374,4374,4374,1766,1766,1766,1766,5054,5054,2675,2675,5708,3522,1570,1745,3215,2079,2597,2162,2511,1040,656,754,1303,1208,1820,3011
Channel Country,Pasture,1561,1561,1561,167,167,167,167,2063,2063,334,334,188,59,338,2119,1085,1433,2310,5365,1078,121,148,254,103,180,573,1220
Channel Country,Crop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Channel Country,Settlement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Channel Country,Mining,1,1,1,2,2,2,2,1,1,11,11,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0
Channel Country,Infrastructure,99,99,99,34,34,34,34,133,133,127,127,169,278,60,21,13,5,24,11,0,2,0,70,29,21,1,0
Channel Country,Forestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Channel Country,Total clearing,1661,1661,1661,203,203,203,203,2197,2197,472,472,357,337,398,2140,1098,1438,2334,5376,1078,123,149,324,132,203,575,1220
Desert Uplands,Pasture,45603,45603,45603,35509,35509,35509,35509,32652,32652,38767,38767,64041,57263,42514,39058,28721,22769,30661,7400,3065,3199,1976,4299,7980,8368,13932,19015
Desert Uplands,Crop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3,0,0,0,0,0,0,0,1,1,0
Desert Uplands,Settlement,0,0,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Desert Uplands,Mining,52,52,52,7,7,7,7,1,1,53,53,2,0,0,0,0,0,0,0,14,5,24,53,65,59,16,1
Desert Uplands,Infrastructure,1049,1049,1049,302,302,302,302,599,599,1007,1007,1198,1279,399,214,766,171,22,29,158,69,43,93,395,101,48,17
Desert Uplands,Forestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desert Uplands,Total clearing,46704,46704,46704,35818,35818,35818,35818,33255,33255,39827,39827,65241,58544,42913,39272,29557,22943,30683,7429,3237,3273,2043,4446,8441,8529,13997,19033
Einasleigh Uplands,Pasture,4968,4968,4968,1047,1047,1047,1047,1955,1955,1526,1526,3618,2477,1644,991,2707,1959,4724,4436,2990,2415,1112,1076,1042,2753,1498,2174
Einasleigh Uplands,Crop,355,355,355,1234,1234,1234,1234,1451,1451,593,593,435,198,56,28,13,16,19,2,3,1,15,5,60,134,132,242
Einasleigh Uplands,Settlement,13,13,13,9,9,9,9,24,24,1,1,3,12,9,1,45,2,14,1,6,16,1,2,0,4,2,1
Einasleigh Uplands,Mining,229,229,229,127,127,127,127,212,212,78,78,16,11,24,38,19,82,109,50,68,23,13,15,24,56,36,40
Einasleigh Uplands,Infrastructure,1505,1505,1505,217,217,217,217,357,357,452,452,1361,1231,1035,621,741,281,294,355,263,212,121,289,113,228,93,54
Einasleigh Uplands,Forestry,0,0,0,1,1,1,1,2,2,52,52,17,2,0,0,0,165,481,85,0,0,0,0,0,0,2,0
Einasleigh Uplands,Total clearing,7070,7070,7070,2635,2635,2635,2635,4001,4001,2702,2702,5450,3931,2768,1679,3525,2505,5641,4929,3330,2667,1262,1387,1239,3175,1763,2511
Gulf Plains,Pasture,5248,5248,5248,1187,1187,1187,1187,3958,3958,885,885,756,3209,782,1131,4304,10219,4695,4061,1870,759,1667,960,2153,1073,3481,17942
Gulf Plains,Crop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
Gulf Plains,Settlement,0,0,0,1,1,1,1,15,15,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Gulf Plains,Mining,0,0,0,0,0,0,0,3,3,0,0,0,0,5,0,0,0,2,0,0,0,6,2,0,7,0,6
Gulf Plains,Infrastructure,1720,1720,1720,37,37,37,37,616,616,861,861,908,772,1493,1356,838,767,218,81,15,47,138,204,199,184,112,50
Gulf Plains,Forestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gulf Plains,Total clearing,6968,6968,6968,1225,1225,1225,1225,4592,4592,1747,1747,1664,3981,2280,2491,5143,10986,4915,4142,1885,806,1812,1166,2352,1264,3593,17999
Mitchell Grass Downs,Pasture,52629,52629,52629,19593,19593,19593,19593,16684,16684,18637,18637,52326,31295,24968,20489,26867,16092,13042,9736,6204,10343,8532,5931,6464,14784,14044,26307
Mitchell Grass Downs,Crop,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Grass Downs,Settlement,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mitchell Grass Downs,Mining,0,0,0,30,30,30,30,1,1,3,3,1,2,0,3,39,6,0,3,7,2,3,2,2,12,3,0
Mitchell Grass Downs,Infrastructure,318,318,318,63,63,63,63,9,9,55,55,117,172,12,8,53,51,4,9,3,27,6,25,71,4,25,5
Mitchell Grass Downs,Forestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Grass Downs,Total clearing,52947,52947,52947,19686,19686,19686,19686,16698,16698,18695,18695,52445,31469,24980,20500,26959,16150,13046,9748,6214,10372,8541,5958,6537,14800,14072,26312
Mulga Lands,Pasture,121867,121867,121867,65448,65448,65448,65448,54651,54651,81579,81579,189330,122877,165547,299226,179541,135557,172654,95483,37427,28334,15119,17451,28894,69512,107954,65211
Mulga Lands,Crop,472,472,472,22,22,22,22,482,482,704,704,295,10,5,1,3,0,0,0,0,0,0,0,0,2,4,195
Mulga Lands,Settlement,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,17,0,11,2,8,4,1,1,1
Mulga Lands,Mining,0,0,0,1,1,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,2,1,0
Mulga Lands,Infrastructure,2639,2639,2639,443,443,443,443,1494,1494,1123,1123,1815,1336,289,247,152,740,40,41,128,77,76,1286,604,277,83,34
Mulga Lands,Forestry,0,0,0,0,0,0,0,8,8,25,25,11,0,0,0,0,7,1,0,0,0,0,0,13,3,0,5
Mulga Lands,Total clearing,124978,124978,124978,65914,65914,65914,65914,56639,56639,83434,83434,191453,124223,165841,299474,179696,136304,172695,95541,37555,28430,15198,18745,29515,69797,108043,65446
New England Tableland,Pasture,5278,5278,5278,2007,2007,2007,2007,3120,3120,2817,2817,2746,1331,1214,4409,3079,1890,4018,2164,2872,1617,1183,1244,2425,1571,1149,4147
New England Tableland,Crop,6,6,6,12,12,12,12,0,0,0,0,8,15,13,0,10,2,0,0,0,2,0,3,4,0,1,18
New England Tableland,Settlement,1,1,1,4,4,4,4,0,0,0,0,0,1,0,0,4,1,1,3,13,3,0,2,3,0,4,2
New England Tableland,Mining,0,0,0,1,1,1,1,2,2,0,0,0,6,0,2,0,0,8,6,17,4,1,4,6,5,7,17
New England Tableland,Infrastructure,158,158,158,14,14,14,14,6,6,41,41,49,26,1,0,40,7,3,19,65,15,1,9,27,29,1,8
New England Tableland,Forestry,0,0,0,71,71,71,71,123,123,165,165,102,27,1,0,0,98,84,86,189,86,112,75,92,141,118,122
New England Tableland,Total clearing,5443,5443,5443,2109,2109,2109,2109,3251,3251,3023,3023,2905,1406,1229,4411,3133,1998,4114,2278,3156,1727,1297,1337,2557,1746,1280,4314
Northwest Highlands,Pasture,29,29,29,41,41,41,41,349,349,158,158,310,293,344,224,131,82,194,304,59,91,49,21,58,96,103,102
Northwest Highlands,Crop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest Highlands,Settlement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,6,2,0,3,0,0,0,0
Northwest Highlands,Mining,3,3,3,0,0,0,0,44,44,252,252,208,189,0,4,50,4,46,187,45,4,34,140,185,181,87,46
Northwest Highlands,Infrastructure,121,121,121,12,12,12,12,144,144,456,456,73,70,7,12,57,115,64,10,2,0,0,8,7,21,3,0
Northwest Highlands,Forestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest Highlands,Total clearing,153,153,153,53,53,53,53,537,537,866,866,591,552,351,240,242,202,304,501,112,97,83,172,250,298,193,148
Southeast Queensland,Pasture,6954,6954,6954,3901,3901,3901,3901,6155,6155,5857,5857,12513,8757,8313,9222,14218,12715,7515,9820,7838,4997,4113,3887,4442,5287,5815,7546
Southeast Queensland,Crop,2266,2266,2266,1254,1254,1254,1254,2757,2757,1755,1755,1107,439,147,159,58,57,28,72,76,24,29,122,76,119,434,655
Southeast Queensland,Settlement,2722,2722,2722,2206,2206,2206,2206,2155,2155,1395,1395,1657,1353,1687,3481,3117,1353,1090,891,1784,1653,1246,1180,1083,888,991,1494
Southeast Queensland,Mining,227,227,227,167,167,167,167,291,291,230,230,374,243,256,239,384,416,366,294,297,154,215,196,237,228,201,228
Southeast Queensland,Infrastructure,848,848,848,274,274,274,274,329,329,1032,1032,948,510,828,504,309,373,235,795,852,464,659,520,720,521,581,236
Southeast Queensland,Forestry,2813,2813,2813,3787,3787,3787,3787,3415,3415,5354,5354,5273,6402,5497,5083,3219,5418,6443,5554,5224,3837,5792,4775,4045,5823,5869,11194
Southeast Queensland,Total clearing,15830,15830,15830,11589,11589,11589,11589,15102,15102,15623,15623,21872,17704,16728,18688,21305,20332,15677,17426,16071,11129,12054,10680,10603,12866,13891,21353
Wet Tropics,Pasture,789,789,789,209,209,209,209,355,355,574,574,1081,376,654,679,609,558,743,954,468,296,139,243,254,276,457,377
Wet Tropics,Crop,2216,2216,2216,2777,2777,2777,2777,1649,1649,472,472,128,46,216,156,12,2,10,60,3,1,19,14,22,41,41,161
Wet Tropics,Settlement,84,84,84,60,60,60,60,90,90,27,27,39,23,21,20,58,72,78,56,87,21,6,20,6,18,26,37
Wet Tropics,Mining,4,4,4,0,0,0,0,1,1,0,0,0,0,0,0,1,26,7,2,28,1,0,0,25,12,5,4
Wet Tropics,Infrastructure,197,197,197,26,26,26,26,34,34,84,84,155,44,24,44,20,23,147,22,8,10,30,48,20,26,14,22
Wet Tropics,Forestry,323,323,323,248,248,248,248,72,72,44,44,83,58,72,185,359,512,562,516,369,85,90,488,1030,773,765,786
Wet Tropics,Total clearing,3613,3613,3613,3320,3320,3320,3320,2201,2201,1201,1201,1486,547,987,1084,1059,1193,1547,1610,963,414,284,813,1357,1146,1308,1387
